- PlayerAvatar(Clone) | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
  - Player Visuals | Active: True | Renderer: False | Pos: (-0.34, 0.70, -19.58), Rot : (0.00, 358.31, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
    - Phys Rider | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (0.20, 0.30, 0.20) | Mesh: N/A
    - Grabber Aim Target | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
    - Grabber | Active: False | Renderer: False | Pos: (0.26, 1.13, 0.51), Rot : (0.00, 0.00, 285.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
      - Grabber Parent | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (0.00, 0.00, 0.00) | Mesh: N/A
        - grabber claw 1 | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (0.90, 0.90, 0.90) | Mesh: N/A
          - mesh_grabber_claw_1 | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (60.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: grab claw
        - grabber claw 2 | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 120.00), Scale : (0.90, 0.90, 0.90) | Mesh: N/A
          - mesh_grabber_claw_2 | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (60.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: grab claw
        - grabber claw 3 | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 240.00), Scale : (0.90, 0.90, 0.90) | Mesh: N/A
          - mesh_grabber_claw_3 | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (60.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: grab claw
        - Orb | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.10), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
          - Orb Sphere 1 | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 75.00), Scale : (0.10, 0.10, 0.10) | Mesh: Sphere
          - Orb Sphere 2 | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 75.00), Scale : (0.13, 0.13, 0.13) | Mesh: Sphere
          - Orb light | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
    - [RIG] | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
      - code_lean | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
        - code_tilt | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
          - ANIM BOT | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
            - code_leg_twist | Active: False | Renderer: False | Pos: (0.00, 0.58, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
              - _____________________________________ | Active: False | Renderer: False | Pos: (0.13, -0.58, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                - ANIM LEG R BOT | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                  - _____________________________________ | Active: False | Renderer: False | Pos: (0.00, 0.55, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                    - ANIM LEG R TOP | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                      - mesh_leg_r | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: leg_R
              - _____________________________________ | Active: False | Renderer: False | Pos: (-0.13, -0.58, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                - ANIM LEG L BOT | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                  - _____________________________________ | Active: False | Renderer: False | Pos: (0.00, 0.55, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                    - ANIM LEG L TOP | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                      - mesh_leg_l | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: leg_L
            - _____________________________________ | Active: False | Renderer: False | Pos: (0.00, 0.58, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
              - ANIM BODY BOT | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                - ANIM BODY BOT SCALE | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                  - mesh_body_bot | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: body_bot
                - _____________________________________ | Active: False | Renderer: False | Pos: (0.00, 0.29, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                  - ANIM BODY TOP | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                    - code_body_top_up | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                      - code_body_top_side | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                        - ANIM BODY TOP SCALE | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                          - mesh_body_top_sphere | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: body_top_sphere
                          - mesh_body_top_flat | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: body_top_flat
                        - _____________________________________ | Active: False | Renderer: False | Pos: (-0.26, 0.25, 0.00), Rot : (0.00, 0.00, 75.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                          - ANIM ARM L | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                            - code_arm_l | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 5.01, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                              - mesh_arm_l | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 90.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: arm_L
                              - Flashlight Target Client | Active: False | Renderer: False | Pos: (0.00, -0.04, 0.47), Rot : (0.00, 0.00, 0.00), Scale : (1.50, 1.50, 1.50) | Mesh: N/A
                        - _____________________________________ | Active: False | Renderer: False | Pos: (0.26, 0.25, 0.00), Rot : (0.00, 0.00, 285.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                          - ANIM ARM R | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                            - code_arm_r_parent | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (28.08, 90.00, 180.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                              - code_arm_r | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                - ANIM ARM R SCALE | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                  - mesh_arm_r | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 270.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: arm_R
                                  - Grabber Target | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.51), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                  - Phys Beam Origin Client | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.50), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                  - Map Tool Target Client | Active: False | Renderer: False | Pos: (0.01, -0.09, 0.50), Rot : (330.00, 285.00, 99.15), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                        - _____________________________________ | Active: False | Renderer: False | Pos: (0.00, 0.36, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                          - ANIM HEAD BOT | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                            - code_head_top_look_at | Active: False | Renderer: False | Pos: (0.00, 0.20, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                            - code_head_bot_up | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                              - code_head_bot_side | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                - >> Attach Point - Jaw Bot | Active: False | Renderer: False | Pos: (0.00, 0.10, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                - Health Hide | Active: False | Renderer: False | Pos: (0.00, 0.03, -0.21), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                  - mesh_health | Active: False | Renderer: True | Pos: (0.00, -0.03, 0.21), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: health LED
                                    - mesh_health frame | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: health frame
                                    - mesh_health shadow | Active: False | Renderer: True | Pos: (0.00, -0.02, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.35, 1.00) | Mesh: health shadow
